Code postal 2022;Libellé poste;Population 2019 desservie par le code postal, au minimum (en ne comptabilisant aucune commune multidistribuée);Population 2019 desservie par le code postal, au maximum (en comptabilisant toutes les communes multidistribuée);Code géographique PMSI 2022;Population 2019 desservie par le code géo PMSI
86140;LENCLOÎTRE; 7 421; 7 421;86140; 7 421
86150;L'ISLE-JOURDAIN; 3 504; 3 504;86150; 3 504
86160;GENÇAY; 6 726; 6 726;86160; 6 726
86170;SAINT-MARTIN-LA-PALLU; 14 662; 20 240;86C01; 41 816
86180;BUXEROLLES; 10 060; 10 060;86180; 10 060
86190;VOUILLÉ; 13 861; 13 861;86190; 13 861
86200;LOUDUN; 11 765; 11 765;86200; 11 765
86210;VOUNEUIL-SUR-VIENNE; 7 057; 7 057;86210; 7 057
86220;DANGÉ-SAINT-ROMAIN; 9 147; 9 147;86220; 9 147
86230;SAINT-GERVAIS-LES-TROIS-CLOCHERS; 4 268; 4 268;86230; 4 268
86240;FONTAINE-LE-COMTE; 14 031; 14 031;86240; 14 031
86250;CHARROUX; 2 930; 2 930;86250; 2 930
86260;SAINT-PIERRE-DE-MAILLÉ; 2 438; 2 438;86260; 2 438
86270;LA ROCHE-POSAY; 3 210; 3 210;86270; 3 210
86280;SAINT-BENOÎT; 7 267; 7 267;86280; 7 267
86290;LA TRIMOUILLE; 2 609; 2 609;86290; 2 609
86300;CHAUVIGNY; 13 603; 13 603;86300; 13 603
86310;SAINT-GERMAIN; 3 716; 3 716;86310; 3 716
86320;LUSSAC-LES-CHÂTEAUX; 6 162; 6 162;86320; 6 162
86330;SAINT-JEAN-DE-SAUVES; 3 874; 4 276;86330; 4 276
86340;NOUAILLÉ-MAUPERTUIS; 12 449; 12 449;86340; 12 449
86350;USSON-DU-POITOU; 3 562; 3 562;86350; 3 562
86360;CHASSENEUIL-DU-POITOU; 8 369; 8 369;86360; 8 369
86370;VIVONNE; 7 287; 7 287;86370; 7 287
86380;CHABOURNAY; 2 092; 15 270;86C01; 41 816
86390;LATHUS-SAINT-RÉMY; 1 402; 1 402;86390; 1 402
86400;CIVRAY; 8 169; 8 169;86400; 8 169
86410;VERRIÈRES; 3 224; 3 224;86410; 3 224
86420;MONTS-SUR-GUESNES; 2 291; 2 291;86420; 2 291
86430;ADRIERS; 1 306; 1 306;86430; 1 306
86440;MIGNÉ-AUXANCES; 6 154; 6 154;86440; 6 154
86450;PLEUMARTIN; 2 267; 2 267;86450; 2 267
86460;AVAILLES-LIMOUZINE; 2 399; 2 399;86460; 2 399
86470;BOIVRE-LA-VALLÉE; 3 073; 3 073;86470; 3 073
86480;ROUILLÉ; 2 496; 2 496;86480; 2 496
86490;COLOMBIERS; 1 438; 4 396;86C01; 41 816
86500;MONTMORILLON; 8 259; 8 259;86500; 8 259
86510;CHAUNAY; 2 141; 2 141;86510; 2 141
86530;NAINTRÉ; 9 418; 9 418;86530; 9 418
86540;THURÉ; 2 858; 2 858;86540; 2 858
86550;MIGNALOUX-BEAUVOIR; 5 026; 5 026;86550; 5 026
86580;VOUNEUIL-SOUS-BIARD; 7 892; 7 892;86580; 7 892
86600;LUSIGNAN; 8 610; 8 610;86600; 8 610
86700;VALENCE-EN-POITOU; 6 169; 6 169;86700; 6 169
86800;SAINT-JULIEN-L'ARS; 12 116; 12 116;86800; 12 116
87000;LIMOGES;  0; 130 876;87000; 130 876
87100;LIMOGES;  0; 130 876;87000; 130 876
87110;BOSMIE-L'AIGUILLE; 6 435; 6 435;87110; 6 435
87120;EYMOUTIERS; 3 305; 3 305;87120; 3 305
87130;CHÂTEAUNEUF-LA-FORÊT; 5 342; 5 342;87130; 5 342
87140;COMPREIGNAC; 5 425; 6 752;87140; 6 752
87150;ORADOUR-SUR-VAYRES; 3 377; 3 377;87150; 3 377
87160;SAINT-SULPICE-LES-FEUILLES; 3 131; 3 131;87160; 3 131
87170;ISLE; 7 847; 7 847;87170; 7 847
87190;MAGNAC-LAVAL; 3 454; 3 454;87190; 3 454
87200;SAINT-JUNIEN; 14 761; 14 761;87C02; 15 573
87210;LE DORAT; 2 758; 2 758;87210; 2 758
87220;FEYTIAT; 11 368; 11 368;87220; 11 368
87230;CHÂLUS; 6 707; 6 707;87230; 6 707
87240;AMBAZAC; 7 355; 7 355;87240; 7 355
87250;BESSINES-SUR-GARTEMPE; 3 786; 5 113;87C01; 4 959
87260;VICQ-SUR-BREUILH; 6 294; 6 294;87260; 6 294
87270;COUZEIX; 13 271; 13 271;87270; 13 271
87280;LIMOGES;  0; 130 876;87000; 130 876
87290;CHÂTEAUPONSAC; 3 799; 3 799;87290; 3 799
87300;BELLAC; 7 290; 7 290;87300; 7 290
87310;SAINT-LAURENT-SUR-GORRE; 4 658; 4 658;87310; 4 658
87320;VAL-D'OIRE-ET-GARTEMPE;  0; 1 646;87320; 1 646
87330;VAL D'ISSOIRE; 2 153; 3 799;87330; 2 153
87340;LA JONCHÈRE-SAINT-MAURICE; 1 471; 1 471;87340; 1 471
87350;PANAZOL; 10 900; 10 900;87350; 10 900
87360;LUSSAC-LES-ÉGLISES; 1 135; 1 135;87C03; 1 314
87370;SAINT-SULPICE-LAURIÈRE; 2 254; 2 254;87370; 2 254
87380;SAINT-GERMAIN-LES-BELLES; 5 129; 5 129;87380; 5 129
87400;SAINT-LÉONARD-DE-NOBLAT; 9 991; 9 991;87400; 9 991
87410;LE PALAIS-SUR-VIENNE; 6 023; 6 023;87410; 6 023
87420;SAINT-VICTURNIEN; 1 978; 1 978;87420; 1 978
87430;VERNEUIL-SUR-VIENNE; 4 881; 4 881;87430; 4 881
87440;SAINT-MATHIEU; 2 537; 2 537;87440; 2 537
87460;BUJALEUF; 1 309; 1 309;87C04; 2 336
87470;PEYRAT-LE-CHÂTEAU; 1 027; 1 027;87C04; 2 336
87480;SAINT-PRIEST-TAURION; 2 888; 2 888;87480; 2 888
87500;SAINT-YRIEIX-LA-PERCHE; 10 290; 10 290;87500; 10 290
87510;SAINT-GENCE; 6 741; 6 741;87510; 6 741
87520;ORADOUR-SUR-GLANE; 6 286; 6 286;87520; 6 286
87570;RILHAC-RANCON; 4 608; 4 608;87570; 4 608
87590;SAINT-JUST-LE-MARTEL; 2 670; 2 670;87590; 2 670
87600;ROCHECHOUART; 5 028; 5 028;87600; 5 028
87620;SÉREILHAC; 1 989; 1 989;87620; 1 989
87640;RAZÈS; 1 173; 1 173;87C01; 4 959
87700;AIXE-SUR-VIENNE; 9 658; 9 658;87700; 9 658
87720;SAILLAT-SUR-VIENNE;  812;  812;87C02; 15 573
87800;NEXON; 9 909; 9 909;87800; 9 909
87890;JOUAC;  179;  179;87C03; 1 314
87920;CONDAT-SUR-VIENNE; 5 128; 5 128;87920; 5 128
88000;ÉPINAL; 40 437; 40 437;88000; 40 437
88100;SAINT-DIÉ-DES-VOSGES; 25 862; 25 862;88100; 25 862
88110;RAON-L'ÉTAPE; 7 602; 7 602;88110; 7 602
88120;VAGNEY; 11 131; 11 131;88120; 11 131
88130;CHARMES; 8 186; 8 186;88130; 8 186
88140;CONTREXÉVILLE; 7 709; 7 709;88140; 7 709
88150;CAPAVENIR VOSGES; 11 783; 11 783;88150; 11 783
88160;LE THILLOT; 8 017; 8 017;88160; 8 017
88170;CHÂTENOIS; 7 274; 7 274;88170; 7 274
88190;GOLBEY; 8 798; 8 798;88190; 8 798
88200;REMIREMONT; 18 272; 18 272;88200; 18 272
88210;SENONES; 6 127; 6 127;88210; 6 127
88220;XERTIGNY; 9 404; 9 404;88220; 9 404
88230;FRAIZE; 5 501; 5 501;88230; 5 501
88240;LA VÔGE-LES-BAINS; 4 329; 4 329;88240; 4 329
88250;LA BRESSE; 4 143; 4 143;88250; 4 143
88260;DARNEY; 5 104; 5 104;88260; 5 104
88270;DOMPAIRE; 6 650; 6 650;88270; 6 650
88290;SAULXURES-SUR-MOSELOTTE; 3 094; 3 094;88290; 3 094
88300;NEUFCHÂTEAU; 10 812; 10 812;88300; 10 812
88310;CORNIMONT; 3 943; 3 943;88310; 3 943
88320;LAMARCHE; 3 808; 3 808;88320; 3 808
88330;CHÂTEL-SUR-MOSELLE; 5 649; 5 649;88330; 5 649
