Code postal 2022;Libellé poste;Code géographique PMSI 2022;latitude;longitude
04800;GRÉOUX-LES-BAINS;04800;43.7584;5.933566666666667
04850;JAUSIERS;04C01;44.417;6.7295
04860;PIERREVERT;04860;43.8114;5.7496
04870;SAINT-MICHEL-L'OBSERVATOIRE;04C04;43.9098;5.7158
05000;GAP;05000;44.5048;6.0786750000000005
05100;BRIANÇON;05100;45.0188;6.651525
05110;LA SAULCE;05110;44.3721;5.9616875
05120;L'ARGENTIÈRE-LA-BESSÉE;05120;44.7945;6.559666666666668
05130;TALLARD;05130;44.4519;6.080311111111111
05140;ASPRES-SUR-BUËCH;05140;44.5223;5.6977875
05150;ROSANS;05150;44.414;5.526788888888889
05160;SAVINES-LE-LAC;05160;44.5041;6.360460000000001
05170;ORCIÈRES;05C07;44.6851;6.3246
05190;ESPINASSES;05190;44.4265;6.201516666666667
05200;EMBRUN;05C02;44.5338;6.503111111111111
05220;LE MONÊTIER-LES-BAINS;05C01;44.976;6.509
05230;CHORGES;05230;44.5502;6.2466
05240;LA SALLE-LES-ALPES;05C01;44.9451;6.5713
05250;DÉVOLUY;05C06;44.6395;5.9017800000000005
05260;SAINT-JEAN-SAINT-NICOLAS;05C07;44.6453;6.190557142857143
05290;VALLOUISE-PELVOUX;05C04;44.8461;6.488049999999999
05300;LARAGNE-MONTÉGLIN;05300;44.2579;5.800577777777778
05310;LA ROCHE-DE-RAME;05310;44.7232;6.562866666666667
05320;LA GRAVE;05C01;45.046;6.3063
05330;SAINT-CHAFFREY;05330;44.9256;6.6077
05340;VALLOUISE-PELVOUX;05C04;44.8804;6.4888
05350;ARVIEUX;05C03;44.7004;6.812374999999999
05380;CHÂTEAUROUX-LES-ALPES;05C02;44.6147;6.5213
05400;VEYNES;05400;44.5379;5.874145454545455
05460;ABRIÈS-RISTOLAS;05C03;44.7943;6.9412
05470;AIGUILLES;05C03;44.7816;6.8682
05480;VILLAR-D'ARÊNE;05C01;45.0436;6.3374
05500;SAINT-BONNET-EN-CHAMPSAUR;05C06;44.6833;6.075699999999999
05560;VARS;05C05;44.5977;6.69065
05600;GUILLESTRE;05C05;44.6481;6.635175
05700;SERRES;05700;44.3175;5.696811764705882
05800;AUBESSAGNE;05800;44.8038;6.05985
06000;NICE;06000;43.7031;7.2661
06100;NICE;06000;43.7031;7.2661
06110;LE CANNET;06110;43.5766;7.0191
06130;GRASSE;06130;43.6578;6.9254
06140;VENCE;06140;43.7157;7.071000000000001
06150;CANNES;06400;43.5513;7.0128
06160;ANTIBES;06600;43.5858;7.1083
06190;ROQUEBRUNE-CAP-MARTIN;06190;43.7641;7.4821
06200;NICE;06000;43.7031;7.2661
06210;MANDELIEU-LA-NAPOULE;06210;43.5458;6.9373
06220;VALLAURIS;06220;43.578;7.0545
06230;VILLEFRANCHE-SUR-MER;06230;43.7039;7.32225
06240;BEAUSOLEIL;06240;43.7431;7.4225
06250;MOUGINS;06250;43.6007;6.9952
06260;PUGET-THÉNIERS;06260;43.9151;6.940130769230769
06270;VILLENEUVE-LOUBET;06270;43.6579;7.1223
06300;NICE;06000;43.7031;7.2661
06310;BEAULIEU-SUR-MER;06310;43.7069;7.3313
06320;CAP-D'AIL;06320;43.7454;7.40305
06330;ROQUEFORT-LES-PINS;06330;43.6727;7.0565
06340;LA TRINITÉ;06340;43.7405;7.317699999999999
06360;ÈZE;06360;43.728;7.3619
06370;MOUANS-SARTOUX;06370;43.621;6.9714
06380;SOSPEL;06380;43.8779;7.4307
06390;CONTES;06390;43.8305;7.30574
06400;CANNES;06400;43.5513;7.0128
06410;BIOT;06410;43.6285;7.0953
06420;VALDEBLORE;06420;43.9469;7.1202250000000005
06430;TENDE;06430;44.0875;7.60485
06440;L'ESCARÈNE;06440;43.8829;7.371916666666666
06450;ROQUEBILLIÈRE;06450;44.012;7.289457142857143
06460;SAINT-VALLIER-DE-THIEY;06460;43.7418;6.843766666666667
06470;PÉONE;06470;44.1165;6.836744444444444
06480;LA COLLE-SUR-LOUP;06480;43.6865;7.1038
06500;MENTON;06500;43.8041;7.4756
06510;CARROS;06510;43.8078;7.127414285714286
06520;GRASSE;06130;43.6578;6.9254
06530;PEYMEINADE;06530;43.6398;6.84936
06540;BREIL-SUR-ROYA;06540;43.9376;7.540233333333333
06550;LA ROQUETTE-SUR-SIAGNE;06550;43.5987;6.9567
06560;VALBONNE;06560;43.6329;6.9991
06570;SAINT-PAUL-DE-VENCE;06570;43.7;7.1167
06580;PÉGOMAS;06580;43.5966;6.9321
06590;THÉOULE-SUR-MER;06590;43.5078;6.9408
06600;ANTIBES;06600;43.5858;7.1083
06610;LA GAUDE;06610;43.7221;7.153
06620;LE BAR-SUR-LOUP;06620;43.7211;6.97396
06640;SAINT-JEANNET;06640;43.7472;7.143
06650;LE ROURET;06650;43.6787;6.99865
06660;SAINT-ÉTIENNE-DE-TINÉE;06660;44.2564;6.8953500000000005
06670;LEVENS;06670;43.8595;7.223542857142857
06690;TOURRETTE-LEVENS;06690;43.7864;7.276
06700;SAINT-LAURENT-DU-VAR;06700;43.6732;7.19
06710;VILLARS-SUR-VAR;06710;43.937;7.0776
06730;SAINT-ANDRÉ-DE-LA-ROCHE;06730;43.7333;7.2833
06740;CHÂTEAUNEUF-GRASSE;06740;43.6667;6.9833
06750;ANDON;06C01;43.7742;6.7329
06790;ASPREMONT;06790;43.7834;7.2441
06800;CAGNES-SUR-MER;06800;43.6635;7.1479
06810;AURIBEAU-SUR-SIAGNE;06810;43.6006;6.9099
06830;GILETTE;06830;43.9017;7.15348
06850;BRIANÇONNET;06C01;43.8647;6.762899999999999
06910;ROQUESTÉRON;06910;43.8868;6.942125
06950;FALICON;06950;43.7486;7.2786
07000;PRIVAS;07000;44.7571;4.570607692307692
07100;ANNONAY;07100;45.2265;4.654425
07110;LARGENTIÈRE;07110;44.5509;4.245452941176471
07120;RUOMS;07120;44.4497;4.3330375
07130;SAINT-PÉRAY;07130;44.9638;4.833433333333333
07140;LES VANS;07140;44.4213;4.08844
07150;VALLON-PONT-D'ARC;07150;44.3941;4.3852142857142855
07160;LE CHEYLARD;07160;44.8486;4.4157866666666665
07170;VILLENEUVE-DE-BERG;07C01;44.6087;4.486000000000001
07190;SAINT-SAUVEUR-DE-MONTAGUT;07190;44.8151;4.489636363636364
07200;AUBENAS;07200;44.6515;4.39417
07210;CHOMÉRAC;07210;44.6762;4.6848375
07220;VIVIERS;07220;44.4828;4.63475
07230;LABLACHÈRE;07230;44.4749;4.1796
07240;VERNOUX-EN-VIVARAIS;07240;44.9255;4.616585714285714
07250;LE POUZIN;07C06;44.7517;4.7403
07260;JOYEUSE;07260;44.4795;4.174985714285714
07270;LAMASTRE;07270;44.9833;4.61786
07290;QUINTENAS;07290;45.1428;4.661914285714286
07300;TOURNON-SUR-RHÔNE;07300;45.0543;4.787288888888889
07310;SAINT-MARTIN-DE-VALAMAS;07310;44.8983;4.30828
07320;SAINT-AGRÈVE;07C05;45.0768;4.396983333333334
07330;THUEYTS;07330;44.6681;4.1414
07340;PEAUGRES;07340;45.352;4.751575
07350;CRUAS;07350;44.6571;4.7629
07360;LES OLLIÈRES-SUR-EYRIEUX;07360;44.8401;4.63928
07370;SARRAS;07370;45.1581;4.792825
07380;JAUJAC;07380;44.638;4.277277777777778
07400;LE TEIL;07400;44.6103;4.646566666666667
07410;SAINT-FÉLICIEN;07410;45.086;4.640514285714285
07430;DAVÉZIEUX;07430;45.2518;4.711016666666667
07440;ALBOUSSIÈRE;07440;44.9604;4.72855
07450;BURZET;07C02;44.7902;4.246575
07460;SAINT-PAUL-LE-JEUNE;07460;44.3148;4.202183333333333
07470;COUCOURON;07470;44.8222;4.020625
07500;GUILHERAND-GRANGES;07500;44.9328;4.8737
07510;SAINT-CIRGUES-EN-MONTAGNE;07C04;44.7281;4.1124
07520;LALOUVESC;07C05;45.0833;4.449766666666666
07530;VALLÉES-D'ANTRAIGUES-ASPERJOC;07530;44.808;4.3544857142857145
07560;MONTPEZAT-SOUS-BAUZON;07C02;44.7121;4.17665
07570;DÉSAIGNES;07570;44.9947;4.504899999999999
07580;SAINT-JEAN-LE-CENTENIER;07C01;44.6518;4.552375
07590;SAINT-ÉTIENNE-DE-LUGDARÈS;07C03;44.6997;3.951228571428572
07600;VALS-LES-BAINS;07600;44.7106;4.3467
07610;VION;07610;45.1103;4.780633333333333
07630;LE BÉAGE;07C04;44.8492;4.122450000000001
07660;LESPÉRON;07C03;44.7283;3.9662
07690;VILLEVOCANCE;07690;45.1986;4.5228166666666665
07700;BOURG-SAINT-ANDÉOL;07700;44.3659;4.573628571428571
07790;SAINT-ALBAN-D'AY;07790;45.1877;4.6381
07800;LA VOULTE-SUR-RHÔNE;07C06;44.859;4.7706625
08000;CHARLEVILLE-MÉZIÈRES;08000;49.7292;4.7190666666666665
08090;AIGLEMONT;08090;49.797;4.65475
08110;CARIGNAN;08110;49.6677;5.19494
08120;BOGNY-SUR-MEUSE;08120;49.8538;4.7329
08130;ATTIGNY;08130;49.5301;4.599030434782608
08140;BAZEILLES;08140;49.6482;5.036654545454545
08150;RENWEZ;08150;49.8007;4.5186705882352936
08160;NOUVION-SUR-MEUSE;08160;49.6724;4.773075
08170;FUMAY;08170;50.0046;4.73032
08190;ASFELD;08190;49.5085;4.12748
08200;SEDAN;08200;49.7019;4.95326
08210;MOUZON;08210;49.63;5.067177777777777
08220;ROCQUIGNY;08220;49.6581;4.220378947368421
08230;ROCROI;08230;49.8921;4.5021
08240;BUZANCY;08240;49.5208;4.9446208333333335
08250;GRANDPRÉ;08250;49.3099;4.8773125
08260;MAUBERT-FONTAINE;08260;49.8636;4.399838461538462
08270;SAULCES-MONCLIN;08270;49.6008;4.462957894736842
08290;LIART;08290;49.7494;4.2939
08300;RETHEL;08300;49.486;4.3429
08310;JUNIVILLE;08310;49.4395;4.433336842105264
08320;VIREUX-WALLERAND;08320;50.0787;4.7395
08330;VRIGNE AUX BOIS;08330;49.7372;4.8557
08350;DONCHERY;08350;49.75;4.87941
08360;CHÂTEAU-PORCIEN;08360;49.5277;4.2301400000000005
08370;MARGUT;08370;49.6031;5.276084615384615
08380;SIGNY-LE-PETIT;08380;49.8705;4.280585714285714
08390;BAIRON ET SES ENVIRONS;08390;49.506;4.817792857142857
08400;VOUZIERS;08400;49.5136;4.692274285714286
08410;BOULZICOURT;08C01;49.6956;4.6962
08430;POIX-TERRON;08C01;49.6514;4.634828
08440;VIVIER-AU-COURT;08440;49.7346;4.8089
08450;RAUCOURT-ET-FLABA;08450;49.6;4.9186
08460;SIGNY-L'ABBAYE;08460;49.7632;4.469575
08500;REVIN;08500;49.8871;4.645766666666667
08600;GIVET;08600;50.1233;4.8162625
08700;NOUZONVILLE;08700;49.7803;4.78602
08800;MONTHERMÉ;08800;49.8847;4.7645
09000;FOIX;09000;42.9469;1.591982608695652
09100;PAMIERS;09100;43.1482;1.611752380952381
09110;AX-LES-THERMES;09C01;42.7202;1.8431
09120;VARILHES;09120;43.0669;1.638376470588235
09130;LE FOSSAT;09130;43.1501;1.4183181818181818
09140;SEIX;09140;42.8497;1.23595
